,x,y,label
BJ8001,10.0627575,13.762029,up_right
BJ8002,1.6833014,8.879475,up_left
BJ8004,3.5271363,9.713984,down_left
BJ8005,9.970639,13.969393,up_right
BJ8008,3.5217085,11.556612,down_left
BJ8009,0.7701185,10.437981,up_left
BJ8011,4.154357,8.332007,down_left
BJ8012,1.259634,8.102308,up_left
BJ8013,4.213969,8.683065,down_left
BJ8014,10.231698,13.236715,up_right
BJ8015,3.9846432,8.409682,down_left
BJ8017,1.253116,11.267346,up_left
BJ8018,9.643476,14.074017,up_right
BJ8019,3.127299,12.099558,down_left
BJ8022,10.019219,14.09633,up_right
BJ8023,1.9190106,11.531836,up_left
BJ8024,6.7769246,12.414638,down_right
BJ8025,3.8541698,9.222777,down_left
BJ8026,8.860182,15.495313,up_right
BJ8027,9.134481,15.698017,up_right
BJ8028,6.712642,14.729199,down_right
BJ8029,1.3542465,11.5674715,up_left
BJ8030,10.270167,12.728019,up_right
BJ8031,3.0891623,12.062957,down_left
BJ8033,1.3492914,11.326328,up_left
BJ8034,1.4343709,11.690312,up_left
BJ8035,8.750546,15.794428,up_right
BJ8036,7.3774095,14.928618,down_right
BJ8037,7.9497848,15.322226,down_right
BJ8038,4.015546,9.764385,down_left
BJ8039,1.6774133,11.894089,up_left
BJ8040,3.0990846,12.09709,down_left
BJ8041,3.9055686,10.97532,down_left
BJ8042,7.011424,13.3773365,down_right
BJ8043,9.968063,14.361346,up_right
BJ8045,6.312001,12.661318,down_right
BJ8046,8.820113,15.121849,up_right
BJ8047,1.2415564,9.779707,up_left
BJ8048,9.839019,14.65906,up_right
BJ8049,1.6678795,8.898747,up_left
BJ8050,0.76346815,10.728721,up_left
BJ8051,9.945504,14.2289295,up_right
BJ8052,3.1156433,11.68921,down_left
BJ8053,4.2729535,8.207034,down_left
BJ8054,0.8853387,9.903862,up_left
BJ8055,5.996865,13.773634,down_right
BJ8057,6.665857,13.159228,down_right
BJ8058,3.544929,11.092896,down_left
BJ8059,1.0877798,9.901574,up_left
BJ8060,7.0726705,14.951207,down_right
BJ8061,6.8404884,13.156301,down_right
BJ8062,6.661686,14.249722,down_right
BJ8063,3.7756574,10.243399,down_left
BJ8064,4.012083,8.644904,down_left
BJ8065,3.7794313,9.438839,down_left
BJ8066,1.0213294,8.792725,up_left
BJ8067,4.1864843,9.734777,down_left
BJ8068,1.7866275,11.927235,up_left
BJ8069,9.889152,13.291954,up_right
BJ8071,0.96717376,10.687487,up_left
BJ8072,10.122257,14.003301,up_right
BJ8074,8.591031,14.943396,up_right
BJ8075,6.692292,12.165753,down_right
BJ8077,7.0495515,12.553353,down_right
