,ht,dv,lr
B6J013105,-1,1,-1
B6J013106,1,-1,-1
B6J013099,-1,1,-1
B6J013100,1,-1,-1
B6J013104,0,0,0
B6J013094,-1,-1,1
B6J013095,-1,1,-1
B6J013097,1,1,1
B6J013092,1,1,1
B6J013093,-1,-1,1
B6J013088,-1,-1,1
B6J013089,1,-1,-1
B6J013091,-1,-1,1
B6J013078,-1,-1,1
B6J013084,1,-1,-1
B6J013085,1,-1,-1
B6J013074,-1,1,-1
B6J013077,1,1,1
B6J013067,1,-1,-1
B6J013068,1,1,1
B6J013071,-1,-1,1
B6J013057,1,-1,-1
B6J013063,-1,-1,1
B6J013065,1,1,1
B6J013045,1,1,1
B6J013055,-1,1,-1
B6J013036,1,-1,-1
B6J013039,-1,1,-1
B6J013043,1,1,1
B6J013024,1,1,1
B6J013025,1,1,1
B6J013030,1,-1,-1
B6J013012,1,-1,-1
B6J013015,-1,1,-1
B6J013007,0,0,0
B6J013009,1,1,1
B6J013010,1,-1,-1
B6J013001,1,1,1
B6J013004,1,1,1
B6J013005,1,1,1
B6J010D100,-1,-1,1
B6J010D101,-1,-1,1
B6J010D097,-1,-1,1
B6J010D098,-1,-1,1
B6J010D099,1,-1,-1
B6J010D094,-1,-1,1
B6J010D095,1,1,1
B6J010D096,1,-1,-1
B6J010D087,-1,-1,1
B6J010D089,-1,-1,1
B6J010D084,1,-1,-1
B6J010D085,-1,1,-1
B6J010D086,1,-1,-1
B6J010D079,-1,-1,1
B6J010D081,-1,1,-1
B6J010D074,1,1,1
B6J010D075,1,1,1
B6J010D076,1,-1,-1
B6J010D071,1,1,1
B6J010D073,0,0,0
B6J010D068,1,-1,-1
B6J010D069,1,1,1
B6J010D070,1,1,1
B6J010D057,0,0,0
B6J010D065,1,1,1
B6J010D067,1,1,1
B6J010D055,0,0,0
B6J010D056,-1,-1,1
B6J010D049,-1,-1,1
B6J010D051,-1,1,-1
B6J010D054,-1,1,-1
B6J010D044,-1,-1,-1
B6J010D046,1,-1,-1
B6J010D047,1,-1,-1
B6J010D040,1,-1,-1
B6J010D043,-1,-1,-1
B6J010D037,-1,-1,-1
B6J010D038,1,-1,-1
B6J010D039,1,-1,-1
B6J010D033,-1,-1,1
B6J010D035,1,-1,-1
B6J010D036,-1,-1,1
B6J010D031,-1,-1,1
B6J010D032,-1,1,-1
B6J010D028,-1,-1,1
B6J010D029,1,-1,-1
B6J010D030,-1,1,-1
B6J010D024,1,-1,-1
B6J010D025,1,-1,-1
B6J010D027,-1,-1,-1
B6J010D022,1,-1,-1
B6J010D023,-1,1,-1
B6J010D019,-1,1,-1
B6J010D020,-1,1,-1
B6J010D021,1,1,1
B6J010D016,1,1,1
B6J010D017,1,-1,-1
B6J010D010,1,-1,-1
B6J010D011,1,-1,-1
B6J010D012,-1,1,-1
B6J010D007,-1,-1,1
B6J010D008,-1,1,-1
B6J010D003,1,1,1
B6J010D004,-1,-1,1
B6J010D005,-1,1,-1
B6J010D002,-1,-1,1
